Název jízdenky,Dospělí,Děti,Junioři,Senioři,Všechny,Je header,Poznámka
Jízdenky platné pouze pro SKI CENTRUM KOHÚTKA,,,,,,ANO,
1-denní (od 8:30 do 16:00 hod.),870,340,710,710,,NE,
Jízdenky platné pro celý SKIREGION VALAŠSKO,,,,,,ANO,
2-denní (2 dny po sobě jdoucí bez večerního lyžování),1540,570,1230,1230,,NE,
3-denní (3 dny po sobě jdoucí bez večerního lyžování),2010,750,1610,1610,,NE,
4-denní (4 dny po sobě jdoucí bez večerního lyžování),2390,930,1920,1920,,NE,
5-denní (5 dny po sobě jdoucí bez večerního lyžování),2790,1080,2230,2230,,NE,
6 dnů v sezóně (platí i na večerní lyžování),3800,1400,3000,3000,,NE,
12 dnů v sezóně (platí i na večerní lyžování),5000,2100,4000,4000,,NE,
KOMBI – 8 hodin v sezóně (platí i na večerní lyžování),1600,580,1240,1200,,NE,
Bezkydy Card – jízdenky platné pro celý SKIREGION VALAŠSKO,,,,,,ANO,
2-denní (2 dny po sobě jdoucí bez večerního lyžování),1230,460,980,980,,NE,
3-denní (3 dny po sobě jdoucí bez večerního lyžování),1610,600,1290,1290,,NE,
4-denní (4 dny po sobě jdoucí bez večerního lyžování),1910,740,1540,1540,,NE,
5-denní (5 dny po sobě jdoucí bez večerního lyžování),2230,860,1780,1780,,NE,
